abject	abyecto
abrupt	repentino
beabreast	estaralcorriente
startafresh	empezardenuevo
abideby	atenera
seaurchin	erizodemar
abode	morada
abruptness	brusquedad
tradeunion	sindicato
tradeunionist	sindicalista
abate	calmar
curlyendive	escarola
beablaze	estarenllamas
doublebass	contrabajo
bassdrum	bombo
abominable	abominable
recklessabandon	desenfreno
wildabandon	desenfreno
abduct	secuestrar
ridingschool	escueladeequitación
aboriginal	aborigen
cutacross	atajar
dropacross	encontrar
putacross	comunicar
acrosstheboard	engeneral
acrosstheroad	atravésdelacarretera
politicalspectrum	espectropolítico
monkeywrench	llaveinglesa
abortive	malogrado
admittedly	ciertamente
abrasive	abrasivo
afterward	después
absentminded	despistado
alas	desgraciadamente
abolition	abolición
wildboar	jabalí
aborigine	aborigen
coastalfishing	pescacostera
coastalfishing	pescadebajura
declinator	declinatorio
sprint	sprint
abstemious	abstemio
abstemious	abstemio
abstemious	abstemio
abstemiousness	sobriedad
goalong	ir
goalongto	asistir
goalongwith_estar_de_acuerdoD	estardeacuerdo
gotoofar	pasarsedelaraya
ACT	ACT
promote	impulsar
citycouncil	Ayto
citycouncil	Aytos
boatrace	regata
Urdaibai	Urdaibai
Hondarribia	Hondarribia
Orio	Orio
batch	tanda
trainera	trainera
Zarautz	Zarautz
PasaiSanPedro	PasaiSanPedro
Laredo	Laredo
OriokoTxanpa	OriokoTxanpa
Donibane	Donibane
ikurrina	ikurrina
ikurrina	ikurriña
Pedreña	Pedreña
Trintxerpe	Trintxerpe
Bermeo	Bermeo
Zumaia	Zumaia
race	pruebapuntuable
scoredseason	temporadapuntuable
scoredregatta	regatapuntuable
scoredjourney	jornadapuntuable
rower	remero
rower	remero
Umpro	Umpro
authorisationfortherapeuticuse	AUT
authorisationfortherapeuticuse	autorizaciónparausoterapéutico
ARC	ARC
LGT	LGT
councilchamber	salóndeplenosdelayuntamiento
rowingassociationoftheBayofBiscay	asociaciónderemodelcantábrico
navigationtrade	gremiodemareantes
rowingboatsleagueofGalicia	ligagallegadetraineras
GP	GP
BP	BP
CIA	CIA
FARC	FARC
GP	GP
Urdiales	Urdiales
Mecos	Mecos
Arkote	Arkote
Candy	Candy
bandeira	bandeira
fishingport	puertopesquero
coastalfishingport	puertopesquerodebajura
ConcellodeMoaña	ConcellodeMoaña
SantiagodeCompostela	SantiagodeCompostela
ConcellodeBoiro	ConcellodeBoiro
ConcellodeRiveira	ConcellodeRiveira
ConcellodePontevedra	ConcellodePontevedra
ConcellodeOGrove	ConcellodeOGrove
ConcellodeOgrove	ConcellodeOgrove
ConcellodePoio	ConcellodePoio
Outón	Outón
Sestao	Sestao
Liébana	Liébana
Gorliz	Gorliz
RíasBajas	RíasBajas
Aiete	Aiete
rowingsportsclub	SDR
sportsclub	SD
sportsclub	SD
sportsclub	SD
rowingsportsclub	SDR
rowingsportsclub	SDR
rowingsportsclub	SDR
Avia	Avia
TalaiberriTxakolindegia	TalaiberriTxakolindegia
LaredoRC	LaredoRC
Isuntza	Isuntza
Samertolameu	Samertolameu
Carglass	Carglass
Pasaia	Pasaia
Iberdrola	Iberdrola
Mrs	doña
Tirán	Tirán
Tostartean	Tostartean
Grafilur	Grafilur
Pasquier	Pasquier
EuskadiIrratia	EuskadiIrratia
Moaña	Moaña
CastroUrdiales	CastroUrdiales
Euskadi	Euskadi
Pontevedra	Pontevedra
