beside	ondoan
toandfro	harathonat
gradually	apurkaapurka
littlebylittle	apurka
littlebylittle	pixkanaka
tottering	balantzaka
closely	hurbiletik
any	inolako
cuttingedge	puntapuntako
republican	errepublikano
republican	errepublikako
republican	errepublikazale
same	bera
first	aurren
first	aurreneko
first	batgarren
first	lehen
first	lehendabiziko
first	lehenengo
last	azken
last	azkeneko
ninth	bederatzigarren
fortieth	berrogeigarren
fortyfirst	berrogeitabatgarren
fortyninth	berrogeitabederatzigarren
fortysecond	berrogeitabigarren
fortyfifth	berrogeitabosgarren
fortyfifth	berrogeitabostgarren
fiftysecond	berrogeitahamabigarren
fiftyfifth	berrogeitahamabosgarren
fiftythird	berrogeitahamahirugarren
fiftyfirst	berrogeitahamaikagarren
fiftyfourth	berrogeitahamalaugarren
fiftieth	berrogeitahamargarren
fiftysixth	berrogeitahamaseigarren
fiftyseventh	berrogeitahamazazpigarren
fiftyeighth	berrogeitahamazortzigarren
fiftyeighth	berrogeitahemezortzigarren
fiftyninth	berrogeitahemeretzigarren
fortythird	berrogeitahirugarren
fortyfourth	berrogeitalaugarren
fortysixth	berrogeitaseigarren
fortyseventh	berrogeitazazpigarren
fortyeighth	berrogeitazortzigarren
other	beste
other	gainerako
second	bigarren
fifth	bosgarren
fifth	bostgarren
hundredth	ehungarren
twelfth	hamabigarren
fifteenth	hamabosgarren
fifteenth	hamabostgarren
hundredthousandth	ehunmilagarren
thirteenth	hamahirugarren
eleventh	hamaikagarren
fourteenth	hamalaugarren
tenth	hamargarren
sixteenth	hamaseigarren
seventeenth	hamazazpigarren
eighteenth	hamazortzigarren
eighteenth	hemezortzigarren
nineteenth	hemeretzigarren
third	heren
third	hirugarren
sixtieth	hirurogeigarren
sixtyfirst	hirurogeitabatgarren
sixtyninth	hirurogeitabederatzigarren
sixtysecond	hirurogeitabigarren
sixtyfifth	hirurogeitabosgarren
sixtyfifth	hirurogeitabostgarren
seventysecond	hirurogeitahamabigarren
seventyfifth	hirurogeitahamabosgarren
seventythird	hirurogeitahamahirugarren
seventyfirst	hirurogeitahamaikagarren
seventyfourth	hirurogeitahamalaugarren
seventieth	hirurogeitahamargarren
seventysixth	hirurogeitahamaseigarren
seventyseventh	hirurogeitahamazazpigarren
seventyeighth	hirurogeitahamazortzigarren
seventyeighth	hirurogeitahemezortzigarren
seventyninth	hirurogeitahemeretzigarren
sixtythird	hirurogeitahirugarren
sixtyfourth	hirurogeitalaugarren
sixtysixth	hirurogeitaseigarren
sixtyseventh	hirurogeitazazpigarren
sixtyeighth	hirurogeitazortzigarren
twentieth	hogeigarren
twentyfirst	hogeitabatgarren
twentyninth	hogeitabederatzigarren
twentysecond	hogeitabigarren
twentyfifth	hogeitabosgarren
twentyfifth	hogeitabostgarren
thirtysecond	hogeitahamabigarren
thirtyfifth	hogeitahamabosgarren
thirtythird	hogeitahamahirugarren
thirtyfirst	hogeitahamaikagarren
thirtyfourth	hogeitahamalaugarren
thirtieth	hogeitahamargarren
thirtysixth	hogeitahamaseigarren
thirtyseventh	hogeitahamazazpigarren
thirtyeighth	hogeitahamazortzigarren
thirtyeighth	hogeitahemezortzigarren
thirtyninth	hogeitahemeretzigarren
twentythird	hogeitahirugarren
twentyfourth	hogeitalaugarren
twentysixth	hogeitaseigarren
twentyseventh	hogeitazazpigarren
twentyeighth	hogeitazortzigarren
fourth	laugarren
fourhundredth	laurehungarren
eightieth	laurogeigarren
eightyfirst	laurogeitabatgarren
eightyninth	laurogeitabederatzigarren
eightysecond	laurogeitabigarren
eightyfifth	laurogeitabosgarren
eightyfifth	laurogeitabostgarren
ninetysecond	laurogeitahamabigarren
ninetyfifth	laurogeitahamabosgarren
ninetythird	laurogeitahamahirugarren
ninetyfirst	laurogeitahamaikagarren
ninetyfourth	laurogeitahamalaugarren
ninetieth	laurogeitahamargarren
ninetysixth	laurogeitahamaseigarren
ninetyseventh	laurogeitahamazazpigarren
ninetyeighth	laurogeitahamazortzigarren
ninetyeighth	laurogeitahemezortzigarren
ninetyninth	laurogeitahemeretzigarren
eightythird	laurogeitahirugarren
eightyfourth	laurogeitalaugarren
eightysixth	laurogeitaseigarren
eightyseventh	laurogeitazazpigarren
eightyeighth	laurogeitazortzigarren
thousandth	milagarren
sixth	seigarren
seventh	zazpigarren
howmuch	zenbat
howmuch	zenbatean
howmany	zenbat
eighth	zortzigarren
underway	abian
insight	agerian
maybe	agian
maybe	ote
maybe	beharbada
unanimously	ahobatez
inalowvoice	ahopean
oneveryoneslips	ahotan
facedown	ahuspez
perhaps	akaso
perhaps	ausaz
perhaps	beharbada
attheside	alboan
attheside	albora
attheside	aldean
attheside	ondora
totheside	alboraino
totheside	alborantz
totheside	alderaino
totheside	alderantz
totheside	ondoraino
totheside	parerantz
bytheside	albotik
bytheside	aldetik
insomemeasure	aldez
atthesametime	aldiberean
atthesametime	batera
atthesametime	behingoan
withlove	amodioz
onpurpose	apropos
onpurpose	nahita
evenmore	aregehiago
evenmore	areago
evenless	aregutxiago
recently	arestian
recently	berri
mildly	arin
mildly	pixkabat
between	artean
between	artera
fromamong	artetik
manytimes	askotan
manytimes	sarritan
longago	aspaldi
foralongtime	aspalditik
furtherback	atzerago
totherear	atzeraino
backwards	atzerantz
backwards	atzean
backwards	atzera
behind	atzetik
yesterdayafternoon	atzoarratsaldean
yesterdayatmidday	atzoeguerdian
yesterdayevening	atzogauean
yesterdaymorning	atzogoizean
further	aurrerago
further	harantzago
tothefront	aurreraino
tothefront	aurrean
tothefront	parean
forward	aurrerantz
forward	aurrera
fromnow	aurrerantzean
infront	aurretik
infront	aurrean
infront	parean
facetoface	aurrezaurre
nearby	auzoan
so	baietz
inwards	barruraino
towithin	barrurantz
inside	barrutik
inside	barruan
inside	barrura
tothebottom	beheraino
frombelow	behetik
atonetime	behinola
forreal	benetan
amongothers	besteakbeste
onthecontrary	bestela
forever	betidanik
forever	behinbetiko
forever	behinetabetiko
forever	betiko
as	bezala
inpassing	bidenabar
inpassing	iragaitzaz
thecomingmonth	datorrenhilean
atanyrate	denadela
inanycase	denaden
bythedozens	dozenaka
anytime	edonoiz
anywhere	edonon
everyday	egunero
inthesun	eguzkitan
bythehundred	ehunka
together	elkarrekin
onebesidetheother	elkarrenondoan
atall	erabat
atall	batere
between	erdian
inthemiddle	erdierdian
byhalf	erdira
byhalf	erdirantz
halfway	erdiraino
inhalf	erditik
constantly	etengabe
thedayaftertomorrowintheafternoon	etziarratsaldean
thedayaftertomorrowatmidday	etzieguerdian
thedayaftertomorrowintheevening	etzigauean
thedayaftertomorrowinthemorning	etzigoizean
no	ezetz
no	ez
secretly	ezkutuan
secretly	isilean
bysurprise	ezustean
above	gainetik
above	gainean
above	gainera
foradventure	galdugordean
ontime	garaiz
transparently	garbi
everynight	gauero
thisafternoon	gaurarratsaldean
thisafternoon	gaureguerdian
untilnow	gaurarte
thismorning	gaurgoizean
fortoday	gaurkoz
forlater	geroko
willingly	gogotik
willingly	gogoz
fromabove	goitik
moreorless	gorabehera
moreorless	gutxiasko
tothetop	goraino
fartoolittle	gutxiegi
intotal	guztira
rightthere	hantxe
rightthere	hortxe
throwingstones	harrika
flying	hegan
thedaybeforeyesterdayintheafternoon	herenegunarratsaldean
thedaybeforeyesterdayatmidday	hereneguneguerdian
thedaybeforeyesterdayinthemorning	herenegungoizean
dead	hilik
better	hobe
better	hobeto
betterfornow	orainhobe
besidesthose	horiezgain
likethat	horrela
besidesthat	horrezgain
besidesthat	horrezgainera
fromthere	hortik
lastyear	iaz
lastyear	joandenurtean
swimming	igerian
toabout	ingururaino
totheenvironment	ingururantz
fromtheenvironment	ingurutik
nowhere	inon
nowhere	inonez
innoway	inondikinora
insilence	isilik
bynature	izatez
tremendously	izugarri
continuing	jarraian
inpublic	jendaurrean
lastweek	joandenastean
lastmonth	joandenhilean
outside	kanporantz
outside	kanpoan
outside	kanpora
fromoutside	kanpotik
inpeace	kito
indoubt	koloka
doubting	kolokan
content	kontent
undercontrol	kontrolpean
withcare	kontuz
withdifficulty	kostata
calmly	lasai
assoonaspossible	lehenbailehen
asleep	lo
extensively	luze
cheaply	merke
bythethousand	milaka
bythemillion	milioika
bywhen	noizko
somewhere	nonbait
fromwhere	nondik
