manipulation	manipulació
unsavory	desagradable
cozy	acollidor
brood	ramaderia
simplistic	simplista
achievements	èxits
invalidate	invalidar
jolt	sacsejada
sweeping	escombrant
acridness	acridesa
farcical	bromista
splendidly	esplèndidament
obsolete	obsolet
loved	estimat
flagging	marcat
erase	esborrar
adulatory	adulatori
slap	boig
hell-bent	immòbil
chivalry	cavalleria
manipulative	manipulador
opponent	oponent
loyal	lleial
worry	preocupació
hazardous	perillós
desirous	desitjós
evil	dolent
unsettling	inquietant
brilliance	brillantor
tarnishes	esmalta
crime	crim
unreadable	il·legible
renowned	reconegut
fidelity	fidelitat
malignant	maligne
disaffected	descontent
invidiousness	invalidesa
trustworthy	confiable
stalemate	estancament
scandels	escàndols
helping	ajudar
idiot	idiota
outrageousness	indignació
astounding	sorprenent
infringements	infraccions
loner	solitari
strictly	estrictament
despondence	desprenia
dies	mor
complemented	complementat
castigate	castigar
egregious	exagerat
fatuous	fatuós
stunning	impressionant
accomplishments	assoliments
cleaner	netejador
glare	resplendor
irking	tirar
blunt	despuntar
mirage	miratge
thoughtlessness	imprudència
flickering	parpelleig
refund	reemborsament
beauty	bellesa
mysterious	misteriós
aggressive	agressiu
adorer	adorador
grudging	rencor
appallingly	terriblement
unease	inquietud
rattles	sacsejades
likes	m'agrada
depress	deprimir
hostilities	hostilitats
limit	límit
alienation	alienació
charming	encantador
languorously	languidamente
meritorious	meritori
unnecessary	innecessari
dust	pols
restricted	restringit
discontinued	discontinuat
cheats	trampes
solace	consol
crushing	aixafament
distressingly	molestant
pleasure	plaer
tarnishing	tallar
worrying	preocupant
engulf	engolir
spacious	espaiós
begging	mendicitat
censure	censura
bickering	discutint
refuting	rebutjar
winnable	guanyable
steadfast	ferma
revert	reverteix
punishable	punible
enough	suficient
sublime	sublim
killed	morts
insightful	perspicaç
unruly	indisciplinat
impeccable	impecable
woefully	lamentablement
unprove	perdre
brazenness	descarada
sloppy	descuidat
avaricious	Àvid
qualms	ressenyes
diffidence	dificultat
awestruck	sorprès
trusted	confiat
illegal	il·legal
dissonance	dissonància
illicit	il·lícit
perturb	pertorbar
utterly	absolutament
tyrannical	tiràniques
distress	angoixa
guarantee	garantia
sickness	malaltia
astonishment	sorpresa
disconsolately	desconsoladament
overwhelm	aclaparat
amaze	sorprèn
retarded	retardat
insidiously	insidiosamente
childish	infantil
deceive	enganyar
support	suport
breakthroughs	avenços
premeditated	premeditada
dedicated	dedicat
profane	profà
terribly	terriblement
unaccessible	inaccessible
calamities	calamitats
harmed	ferit
anxiously	ansiosament
cheat	enganyar
anxiety	ansietat
damned	maleït
spellbound	embruixat
lively	animat
undercut	subcutit
demise	desaparició
immorality	immoralitat
throbbed	llàstima
chastise	castigar
horrendous	horrible
enchantingly	encantadorament
sobering	sobri
self-humiliation	auto-humiliació
revulsive	revulsiu
masters	mestres
insecurity	inseguretat
annihilation	aniquilació
offender	delinqüent
inculcate	inculcar
enjoying	gaudint
viciousness	viciosa
confess	confessar
rigidity	rigidesa
relentlessly	implacablement
lackeys	mancans
resolute	resolt
confounding	confondre
logical	lògic
inconsequentially	inconsecuentemente
invalidity	invalidesa
cracked	esquerdat
humour	humor
forbidding	prohibir
knock	copejar
harassed	hostigat
wildly	salvajemente
antagonist	antagonista
vestiges	vestigis
impressively	impressionants
disgusting	desagradable
dissension	dissensió
helpless	indefens
steeply	abruptament
smiles	somriu
miscreants	incomprensors
pitifully	lamentablement
standstill	parada
sensation	sensació
sporty	esportiu
litigious	litigiosos
dissapointed	decepcionat
screwed	cargolat
inhibition	inhibició
illusory	il·lusori
decency	decència
fierce	ferotge
wrath	ira
enrapt	embrague
cranky	cruixent
disapprove	rebutjar
starkly	cruelment
unjustified	injustificat
diabolical	diabòlic
trust	confiança
conceded	concedit
skepticism	escepticisme
glorify	glorificar
