2-faces	2-caras
abnormal	anormal
abolish	abolir
abominably	abominablemente
abominate	abominar
abomination	abominación
abort	abortar
aborted	abortado
aborts	aborta
abound	abundar
abounds	abunda
abrade	desgastar
abrasive	abrasivo
abrupt	abrupto
abruptly	abruptamente
abscond	fugarse
absence	ausencia
absentee	ausente
absent-minded	distraído
absurd	absurdo
absurdity	absurdo
absurdly	absurdamente
abundance	abundancia
abundant	abundar
abuse	abuso
abused	abusado
abuses	abusos
abusive	abusivo
abysmal	abismal
abysmally	abismalmente
abyss	abismo
accessable	accesible
accessible	accesible
acclaim	aclamación
acclaimed	aclamado
acclamation	aclamación
accolade	premio
accolades	reconocimientos
accommodative	acomodaticia
accomodative	acomodativa
accomplished	cumplido
accomplish	lograr
accomplishment	logro
accomplishments	logros
accost	abordar
accurate	exacto
accurately	exacto
accursed	maldito
accusation	acusación
accusations	acusaciones
accuse	acusar
accuses	acusa
accusing	acusando
accusingly	acusatoriamente
acerbate	exacerbar
acerbic	acerbo
acerbically	mordacidad
ached	dolía
ache	dolor
aches	dolores
achievable	alcanzable
achievement	logro
achievements	logros
achievible	alcanzable
aching	dolor
acrid	acre
acridly	acremente
acrimonious	mordaz
acrimony	acritud
acumen	perspicacia
adamant	firme
adamantly	inflexiblemente
adaptive	adaptado
addict	adicto
addicted	adicto
addicting	adictivo
adequate	adecuado
adjustable	ajustable
admirably	admirablemente
admiration	admiración
admire	admirar
admirer	admirador
admiring	admirativo
admiringly	admirativamente
admonish	amonestar
admonisher	amonestador
admonishingly	admonitorio
admonishment	amonestación
admonition	advertencia
adore	adorar
adored	adorado
adorer	adorador
adoring	cariñoso
adroit	hábil
adroitly	diestramente
adulate	adular
adulation	adulación
adulatory	adulador
adulterate	adulterar
adulterated	adulterada
adulteration	adulteración
advanced	avanzado
advantageously	ventajosamente
advantageous	ventajoso
advantages	ventajas
advantage	ventaja
adventuresome	aventurero
adventurous	aventurero
adversarial	contradictorio
adversary	adversario
adverse	adverso
adversity	adversidad
advocate	defensor
advocated	propugnado
advocates	defensores
affability	afabilidad
affable	afable
affably	afablemente
affectation	afectación
affection	afecto
affectionate	cariñoso
affinity	afinidad
affirmation	afirmación
affirmative	afirmativo
afflict	afligir
affliction	aflicción
afflictive	doloroso
affluence	opulencia
affluent	afluente
affordable	asequible
affordably	asequible
afford	permitirse
affront	afrenta
afraid	miedo
aggravate	agravar
aggravating	agravante
aggravation	agravación
aggression	agresión
aggressive	agresivo
aggressiveness	agresividad
aggressor	agresor
aggrieved	agraviado
aggrieve	ofender
aghast	espantado
agile	ágil
agilely	ágilmente
agility	agilidad
agonies	agonías
agonize	agonizar
agonizing	agonizante
agonizingly	agonizantemente
agony	agonía
agreeable	agradable
agreeableness	agradabilidad
agreeably	agradablemente
aground	encallado
ail	afligir
ailing	enfermo
ailment	enfermedad
alarm	alarma
alarmed	alarmado
alarming	alarmante
alarmingly	alarmantemente
alienated	alienado
alienate	enajenar
alienation	alienación
all-around	total
allegation	allegatio
allegations	alegaciones
allege	alegar
allergic	alérgico
allergies	alergias
allergy	alergia
alluringly	seductoramente
alluring	seductor
altercation	altercado
altruistically	altruistamente
altruistic	altruista
amaze	asombrar
amazed	asombrado
amazement	asombro
amazes	sorprende
amazing	asombroso
amazingly	asombrosamente
ambiguity	ambigüedad
ambiguous	ambiguo
ambitious	ambicioso
ambitiously	ambiciosamente
ambivalence	ambivalencia
ambivalent	ambivalente
ambush	emboscada
ameliorate	mejorar
amenable	dócil
amenity	amenidad
amiability	amabilidad
amiable	amable
amicability	amabilidad
amicable	amistoso
amicably	amigablemente
amiss	mal
amity	amistad
ample	amplio
amply	ampliamente
amputate	amputar
amuse	divertir
