stress	estresa
weep	negar
manipulation	manipulazioa
unsavory	gaiztoa
cozy	atsegina
brood	iruzurra
disappointing	etsigarriak
ignominy	ezjakintasuna
insensitively	sentsibilitatea
hazardous	arriskutsuak
strained	estutu
noisier	zaratatsuagoa
villainously	gaizki
achievements	lorpenak
sabotage	sabotajea
latency	latentzia
prevaricate	predikatu
honorable	ohoragarria
fear	beldurra
criticisms	kritikak
cheap	merkea
sweeping	miaketa
quarrellously	bortizki
prompt	galdetu
intriguingly	intrigazkoa
incomparably	konparatiboki
sacrificed	sakrifikatu
colorful	koloretsua
ill-natured	gaiztoa
splendidly	zoragarria
obsolete	zaharkitua
undercutting	ahultzen
rapid	azkar
disappointingly	etsipenez
monumental	monumentala
pricier	arinagoa
loved	maitatua
solicitude	eskaera
flagging	markatzea
furious	amorruz
comprehensive	integrala
trendy	modan
wrinkles	zimurrak
negligent	negligenteak
winners	irabazleak
economical	ekonomikoa
maliciously	gaizki
quarrelsome	larriagotu
shortchange	engainatu
dissemble	desegiteko
fluent	mingarria
chivalry	zaldiketa
manipulative	manipulatzailea
opponent	aurkaria
loyal	leial
worry	kezkatu
desirous	nahiago
excuse	aitzakia
unprove	apaldu
evil	gaiztoak
chaff	mafia
unsettling	aztoratzen
brilliance	distira
stately	dotorea
tarnishes	txarrak
crime	delitua
ameliorate	hobetu
stagnate	gelditu
inordinately	ezohiko
renowned	ezagunak
excitingly	zirraragarria
friendly	atsegina
malignant	gaiztoa
disaffected	deszifratu
invidiousness	inertzia
swift	azkar
trustworthy	fidagarria
affably	afable
radicals	erradikalak
injudicious	kaltegarriak
relentless	nekaezinean
oppose	aurka
shiny	distiratsua
fanaticism	fanatismoa
ricer	aberatsa
scandels	eskandelak
simplistic	sinplista
apprehensions	atxiloketak
victory	garaipena
helping	laguntzen
idiot	idiota
dwindling	ahultzen
autonomous	autonomoa
astounding	harrigarria
excellency	bikaintasuna
retractable	erretraktila
divergent	desberdina
infringements	arau-hauste
overstated	oztopatu
undue	desegoki
nuisance	gogaikarriak
jagged	zertxobait
discrimination	diskriminazioa
unqualified	ez-gaitu
virulently	birulentzia
shatter	desegin
faulty	okerra
ruined	hondatuta
complemented	osatua
rejected	baztertua
admirer	miresgarria
bleeds	odoletan
killer	hiltzailea
subtract	kendu
loses	galtzen
stunning	harrigarri
patronize	babestu
respectful	errespetuzkoa
cleaner	garbiago
glare	distira
remorselessness	gogaikarriak
blunt	lauso
thoughtlessness	pentsamendua
hopelessness	desesperantza
refund	itzultzea
beauty	edertasuna
favor	alde
aggressive	oldarkorra
delays	atzerapenak
whining	kexatzen
appallingly	apalki
irreconcilable	ezinezkoa
oppositions	oposizioak
rattles	zurrumurruak
likes	atsegin
overlook	ahaztu
depress	presaka
hostilities	ostatuak
limit	muga
alienation	alienazioa
accost	akordeak
charming	xarmangarri
subpoenas	aipamenak
sociable	soziala
refine	findu
brashly	zorrotz
ingenious	ingeniaria
languorously	languishly
apotheosis	apoteosi
inspire	inspiratu
brisk	bizkor
dust	hautsa
grim	gaizkia
undefined	zehaztugabea
bombard	bonbardatu
cheats	tranparik
heroine	heroina
superstition	sineskeria
irredeemably	irribarrez
exhaustion	nekea
charismatic	karismatikoa
condescension	kondentsazioa
luck	zorte
solace	kontsolamendua
acridness	zorrotz
crushing	birrintzeko
wonderfully	zoragarria
pleasure	plazerra
insolently	ezohiko
inconsistencies	inkongruentziak
hallmarks	ezaugarri
affluence	aberastasuna
obese	obesitatea
unattractive	itsusi
prejudices	aurreiritziak
spacious	zabala
extremist	muturrekoa
begging	eske
non-violent	ez-bortitza
gratefully	zorionez
censure	zentsura
prohibit	debekatu
repetitive	errepikakorra
issue-free	gai-free
reasoned	arrazoitua
steadfast	gogorra
warm	bero
delightfully	zoragarria
tired	nekatuta
punishable	zigor
integrated	integratua
profuse	profusa
shake	astindu
hardened	gogortua
inconsistence	inkontzientea
enemy	etsaia
flawlessly	perfektua
chatter	txata
attune	joera
retaliatory	erretalia
spectacularly	ikusgarria
weariness	nekea
misconceptions	okerrak
inflationary	inflazioa
incompetence	ezintasuna
sloppily	zoritxarrez
threat	mehatxua
sensibly	zentzuzkoa
impeccable	zaindua
ruin	hondamena
noxious	nazkagarri
reachable	eskuragarria
racist	arrazista
threats	mehatxuak
convenient	komenigarria
rift	bortxaketa
revolting	iraultza
breakdown	matxura
obstructs	oztopoak
injury	lesioak
abrupt	bortitza
valor	balio
buoyant	boikot
brutalising	bortitz
extravagant	bitxiak
qualms	maltzurkeria
diffidence	ezintasuna
gainsayer	irabazleak
complimentary	osagarriak
trusted	fidagarria
treasonous	traidorea
commotion	bozgorailua
conspicuously	nabarmenki
hegemonistic	hegemonistikoa
dissonance	disonantzia
enviably	inbidia
stereotype	estereotipo
vibrant	bizia
loot	harrapakin
orderly	ordenatua
utterly	guztiz
compulsive	konpultsiboa
tyrannical	tiranikoa
finagle	finak
unusual	ezohikoa
distress	apuros
genuine	benetakoa
sickness	gaixotasuna
hinder	oztopatzen
suffers	sufritzen
usable	erabilgarriak
inferior	behean
degrade	degradatu
stirringly	harrigarria
overwhelm	zoritxarrez
refusal	ukatzea
imperfect	inperfektua
amaze	harritu
overpaid	gehiegizkoa
sunk	hondoratuta
heavyhearted	atsekabetua
inapt	ezgai
intense	bizia
insidiously	maltzurki
proprietary	jabeduna
brainy	burusoila
honor	ohorea
deceive	engainatu
support	laguntza
weirdly	bitxi
breakthroughs	aurrerapenak
mystify	mistifikatu
destiny	patua
dedicated	dedikatu
profane	profanoak
fist	ukabila
shamelessness	lotsagabekeria
calamities	kalamities
atrocious	itzel
originality	originaltasuna
levity	leialtasuna
anxiety	antsietatea
sillily	tonto
spellbound	idazkera
examplary	azterketa
lively	bizia
usurp	usurpatu
kudos	zorionak
fearless	beldurrez
smuttier	smutter
dishonestly	gaizki
expensive	garestia
demise	desagertzea
vivacious	bizia
woeful	zorigaiztoko
smoothly	leuna
horrendous	izugarria
commendably	zorionez
sobering	serio
impropriety	gaizki
revulsive	indarkeria
masterfully	maisuki
tedious	lapurtera
annihilation	desagerpena
vileness	zentzugabekeria
offender	delitu
brimstone	srimoia
morons	tontoak
horrid	izugarria
stale	ahaztuta
enjoying	gozatzen
slap	belarrondoko
taboo	tabu
joke	txantxa
confess	aitortu
gainsay	irabazi
swelled	hantura
palatial	palataria
smuttiest	smutest
enjoy	gozatu
joyful	pozik
knowledgeable	ezagutza
sufferers	gaixoak
appal	eskaintza
deaf	gorrentzako
resolute	erabakigarria
confounding	nahastu
logical	logikoa
adequate	egokia
apologists	apologoak
suicide	suizidioa
inconsequentially	ezegonkortasunez
outraged	indarkeria
wickedly	gaizki
paucity	apur
sorrow	atsegabea
disvalue	desegitea
cracked	pitzatu
trusting	fidagarria
humour	umorea
unsteady	ezegonkor
genocide	genozidioa
disaffect	desadostasuna
courteous	kortesoa
forbidding	debekua
arcane	arcano
harassed	zauritu
wildly	larriki
invalid	baliogabea
antagonist	antagonista
vestiges	aztarnak
significant	esanguratsua
clamor	klamurra
stifling	usteldu
disgusting	nazkagarria
perish	galdu
incompatible	bateraezina
inconsequential	ezezagunak
helpless	babesgabe
uproot	erretzea
steeply	zurrunbilo
credible	sinesgarria
tense	tentsioa
smiles	irribarreak
cheery	zorionak
pitifully	zoritxarrez
rigid	zurrunak
humorously	umorez
faithless	sinestea
sensation	sentsazioa
sporty	kirol
gravely	larriki
dissapointed	deboziozkoak
slowly	poliki-poliki
screwed	bihurritu
inhibition	inhibizioa
valiantly	ausarki
strut	zutik
foolishly	ergelki
illusory	ilusioz
obnoxious	gorrotagarri
roomier	aretoagoa
obsessively	obsesiboki
intolerance	intolerantzia
fierce	gogorra
orphan	umezurtz
enrapt	desegin
retract	erretiratzea
propitiously	egokia
cranky	txundigarria
shambles	errautsak
suspicions	susmoak
leading	liderra
carelessness	arduragabekeria
worthlessly	ezerez
slowww	motel
trust	konfiantza
conceded	onartuta
obscenely	lizun
sarcasm	sarcasmo
fraught	beteta
franticly	frenetically
skepticism	eszeptizismoa
freshest	freskoena
quandary	galdeketa
permissible	onartezina
gruesome	gogorra
unilateralism	unilateralismoa
contemptuous	desengainu
displeasure	atsekabetu
beg	eskatu
inadequacy	ezegokitasuna
healthful	osasuntsua
pre-eminent	preeminente
soundness	soiltasuna
yawn	bozgorailua
drought	lehortea
strike	greba
genius	jenio
shortcoming	hutsuneak
traitorously	traidore
foolish	erokeria
atrophy	atrofia
lawbreaking	legegintzaldia
dignity	duintasuna
eventful	ausazkoa
insidious	maltzurragoa
subsidizes	diru-laguntzak
win	irabazi
marginally	marginalki
evasive	iheskorra
accomplishment	lorpena
simpler	errazagoa
hating	gorrotatzen
moan	kexatu
quarrellous	gezurrak
stupendous	zoragarria
irreversible	atzeraezina
fears	beldurrak
clouding	hodeiak
inexplainable	ezinezkoa
reward	saria
